Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3/26/2012,19660.9,19068.03,18701.96,18677.06,19237.61,20679.64,23623.35,25103.98,25840.47,26415.13,26390.72,26605.92,26382.34,26275.52,26037.47,25895.39,25676.85,25462.11,26497.8,27669.87,28017.65,26836.31,24182.42,22261.41
3/27/2012,20258.15,19771.9,19786.32,19674.17,19883.91,20686.74,23883.19,25552.74,25742.21,26148.83,26384.57,26381.38,26295.7,26452.6,26254.54,26099.1,25872.05,25345.86,26425.08,28006.22,28283.01,26900.02,24644.33,22454.15
3/28/2012,21330.77,20352.17,19894.62,19694.14,20148.1,21400.42,23542.38,25716.23,25921.03,26201.39,26282.13,26292.67,26163.05,26142.49,26006.13,25888.4,25670.16,25262.42,25774.42,27915.03,28283.95,26558.55,24918.49,22914.42
3/29/2012,21222.47,20262.76,19780.14,19653.43,20124.78,21559.51,23562.7,24898.32,25219.37,25971.48,25891.11,25623.47,25597.07,25825.16,25824.36,25648.4,25677.56,25494.73,25945.3,27402.7,27841.03,26742.64,24440.31,22380.52
3/30/2012,21015.35,20199.85,19659.25,19465.98,19858.72,20488.18,22485.39,23820.56,24446.29,25122.75,25247.91,25322.39,25094.37,25210.71,25045.3,24940.69,25154.6,24528.69,24823.43,26132.83,26570.41,25793.76,24150.84,22059.26
3/31/2012,20712.3,19815.66,19333.1,19178.23,19225.78,18907.13,19832.92,20704.43,21669.99,22952.29,23067.42,23134.51,22956.86,22740.71,22418.18,22567.32,22795.83,22912.72,23393.51,24407.5,25264.26,24878.95,23576.32,21350.96
4/1/2012,20384.95,19734,19152.23,18968.14,18795.58,18471.72,19060.1,19661.6,20510.89,21124.56,21422.19,21558.47,21563.93,21424.36,21312.54,21384.81,21467.67,21865.04,22591.45,24571.74,25208.13,24066.99,22408.3,20440.55
4/2/2012,19700.06,19585.85,19274.44,19328,19640.27,20530.32,23153.7,24450.59,25033.2,25608.9,25382.44,25403.51,25385.43,25378.39,25189.73,25053.76,24848.63,24499.59,25092.71,26927.28,27406.22,26148.87,23988.29,21940.61
4/3/2012,20634.35,19938.8,19283.94,19241.58,19781.63,20753.98,23222.14,24773.54,25636.78,25885.84,26048.77,25787.64,25953.36,26090.14,25947.61,26174.25,25951.3,25862.31,25824.98,27785.82,28161.48,26814.46,24497.62,22623.11
4/4/2012,21063,20215.73,19796.97,19707.84,20172.42,21495.26,23971.92,25473.66,26007.16,26366.59,26587.43,26649.71,26447.07,26590.76,26050.59,25838.44,25586.24,25371.38,25410.23,26934.7,27618.03,26393.72,24093.19,22362.28
4/5/2012,21204.95,20442.4,20010.32,19930.15,20376.97,21701.3,24532.83,25819.06,26334.17,26533.59,26651.48,26888.54,26742.75,26564.83,26087.08,25833.7,25260.6,25198.82,25399.56,27148.46,27619.58,26501.2,24296.85,22464.95
